,topic_rank,QA,length,sim_wrt_topic,ans
14,3,vitani agrees with kiara,4,0.9233440160751343,"[('vitani', 2.09861228866811), ('agrees', 2.09861228866811), ('kiara', 2.09861228866811)]"
12,3,kiara kept on failing,4,0.9724289178848267,"[('kiara', 2.09861228866811), ('kept', 2.09861228866811), ('failing', 2.09861228866811)]"
5,1,should ve been the chosen one,6,0.9039621353149414,"[('ve', 1.6931471805599454), ('chosen', 2.09861228866811)]"
3,0,simba excuses timon and pumbaa to speak to nala alone,10,0.9756488800048828,"[('simba', 1.1823215567939547), ('timon', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('nala', 1.4054651081081644), ('excuses', 2.09861228866811), ('speak', 2.09861228866811)]"
13,3,the outsiders realize kiara is correct but zira ignores her,10,0.9515325427055359,"[('outsiders', 2.09861228866811), ('realize', 2.09861228866811), ('kiara', 2.09861228866811), ('correct', 2.09861228866811), ('zira', 2.09861228866811), ('ignores', 2.09861228866811)]"
16,4,as mufasa nears the top he sees scar standing over him,11,0.9644914269447327,"[('scar', 1.1823215567939547), ('mufasa', 1.4054651081081644), ('nears', 2.09861228866811), ('sees', 2.09861228866811), ('standing', 2.09861228866811)]"
9,2,simba shows off his bravery by laughing in front of large skull,12,0.7440822720527649,"[('simba', 1.1823215567939547), ('shows', 1.6931471805599454), ('bravery', 1.6931471805599454), ('laughing', 2.09861228866811), ('large', 2.09861228866811), ('skull', 2.09861228866811)]"
19,4,zazu mutters under his breath that he never had to do this under mufasa,14,0.9440599679946899,"[('mufasa', 1.4054651081081644), ('zazu', 2.09861228866811), ('mutters', 2.09861228866811), ('breath', 2.09861228866811)]"
11,2,simba accepts his place as king of the pridelands thanking timon and pumbaa for helping him,16,0.7184540033340454,"[('simba', 1.1823215567939547), ('place', 1.4054651081081644), ('king', 1.4054651081081644), ('timon', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('accepts', 1.6931471805599454), ('pridelands', 1.6931471805599454), ('thanking', 2.09861228866811), ('helping', 2.09861228866811)]"
8,2,just above the gorge the three hyenas lie in wait in front of massive herd of wildebeest,17,0.758474588394165,"[('just', 1.4054651081081644), ('hyenas', 1.4054651081081644), ('gorge', 1.6931471805599454), ('wait', 1.6931471805599454), ('wildebeest', 1.6931471805599454), ('lie', 2.09861228866811), ('massive', 2.09861228866811), ('herd', 2.09861228866811)]"
10,2,scrap with hyenas dash through an elephant grave yard defeat your evil uncle scar and recapture the pridelands,18,0.7220879793167114,"[('scar', 1.1823215567939547), ('hyenas', 1.4054651081081644), ('uncle', 1.4054651081081644), ('elephant', 1.6931471805599454), ('pridelands', 1.6931471805599454), ('scrap', 2.09861228866811), ('dash', 2.09861228866811), ('grave', 2.09861228866811), ('yard', 2.09861228866811), ('defeat', 2.09861228866811), ('evil', 2.09861228866811), ('recapture', 2.09861228866811)]"
0,0,timon spots simba running away after his off screen argument with nala and laughs it off pumbaa feeling guilty,19,0.9805309176445007,"[('simba', 1.1823215567939547), ('timon', 1.4054651081081644), ('away', 1.4054651081081644), ('nala', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('running', 1.6931471805599454), ('laughs', 1.6931471805599454), ('feeling', 1.6931471805599454), ('spots', 2.09861228866811), ('screen', 2.09861228866811), ('argument', 2.09861228866811), ('guilty', 2.09861228866811)]"
17,4,mufasa and his majordomo hornbill named zazu rowan atkinson confront scar on why he wasn present at the ceremony that morning,21,0.9508982300758362,"[('scar', 1.1823215567939547), ('mufasa', 1.4054651081081644), ('named', 1.6931471805599454), ('ceremony', 1.6931471805599454), ('morning', 1.6931471805599454), ('majordomo', 2.09861228866811), ('hornbill', 2.09861228866811), ('zazu', 2.09861228866811), ('rowan', 2.09861228866811), ('atkinson', 2.09861228866811), ('confront', 2.09861228866811), ('wasn', 2.09861228866811), ('present', 2.09861228866811)]"
4,1,meanwhile as thunderstorm struck the pride lands zira leads her pride in war against the pride lands and fierce fight breaks out,22,0.9057355523109436,"[('pride', 1.4054651081081644), ('pride', 1.4054651081081644), ('pride', 1.4054651081081644), ('lands', 1.6931471805599454), ('leads', 1.6931471805599454), ('lands', 1.6931471805599454), ('fierce', 1.6931471805599454), ('fight', 1.6931471805599454), ('breaks', 1.6931471805599454), ('thunderstorm', 2.09861228866811), ('struck', 2.09861228866811), ('zira', 2.09861228866811), ('war', 2.09861228866811)]"
7,1,as dawn breaks all the animals of the pride lands are summoned to pride rock the home of the pride of lions,22,0.8599554300308228,"[('animals', 1.4054651081081644), ('pride', 1.4054651081081644), ('pride', 1.4054651081081644), ('rock', 1.4054651081081644), ('home', 1.4054651081081644), ('pride', 1.4054651081081644), ('lions', 1.4054651081081644), ('breaks', 1.6931471805599454), ('lands', 1.6931471805599454), ('dawn', 2.09861228866811), ('summoned', 2.09861228866811)]"
18,4,lightning strikes and ignites fire beneath him as scar looks over him remarking that this was just the way mufasa looked before he died,24,0.9508917331695557,"[('scar', 1.1823215567939547), ('just', 1.4054651081081644), ('mufasa', 1.4054651081081644), ('lightning', 2.09861228866811), ('strikes', 2.09861228866811), ('ignites', 2.09861228866811), ('beneath', 2.09861228866811), ('looks', 2.09861228866811), ('remarking', 2.09861228866811), ('way', 2.09861228866811), ('looked', 2.09861228866811), ('died', 2.09861228866811)]"
15,3,unmoved by her insight zira wickedly tells her daughter that she will die too if she will not fight which turns the other outlanders against her,26,0.9227834343910217,"[('tells', 1.6931471805599454), ('die', 1.6931471805599454), ('fight', 1.6931471805599454), ('turns', 1.6931471805599454), ('unmoved', 2.09861228866811), ('insight', 2.09861228866811), ('zira', 2.09861228866811), ('wickedly', 2.09861228866811), ('daughter', 2.09861228866811), ('outlanders', 2.09861228866811)]"
6,1,simba allows the outlanders including kovu to return to the pride lands and kovu is allowed to stand with kiara at the top of pride rock with mufasa proudly proclaiming we are one,33,0.8820223808288574,"[('simba', 1.1823215567939547), ('pride', 1.4054651081081644), ('pride', 1.4054651081081644), ('rock', 1.4054651081081644), ('mufasa', 1.4054651081081644), ('return', 1.6931471805599454), ('lands', 1.6931471805599454), ('allows', 2.09861228866811), ('outlanders', 2.09861228866811), ('including', 2.09861228866811), ('kovu', 2.09861228866811), ('kovu', 2.09861228866811), ('allowed', 2.09861228866811), ('stand', 2.09861228866811), ('kiara', 2.09861228866811), ('proudly', 2.09861228866811), ('proclaiming', 2.09861228866811)]"
2,0,crazed with happiness he quickly smears mane around the head of his simba drawing stating that it is time timon and pumbaa are walking through the jungle together when pumbaa becomes distracted by large rhino beetle,36,0.9773387908935547,"[('simba', 1.1823215567939547), ('timon', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('jungle', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('quickly', 1.6931471805599454), ('time', 1.6931471805599454), ('crazed', 2.09861228866811), ('happiness', 2.09861228866811), ('smears', 2.09861228866811), ('mane', 2.09861228866811), ('head', 2.09861228866811), ('drawing', 2.09861228866811), ('stating', 2.09861228866811), ('walking', 2.09861228866811), ('distracted', 2.09861228866811), ('large', 2.09861228866811), ('rhino', 2.09861228866811), ('beetle', 2.09861228866811)]"
1,0,rafiki appears to timon and reminds him that his hakuna matata is not home but friendship prompting timon to go after his friends at pride rock timon and pumbaa evade the hyenas but run into ma and uncle max who came looking for timon,44,0.9797966480255127,"[('rafiki', 1.4054651081081644), ('timon', 1.4054651081081644), ('home', 1.4054651081081644), ('timon', 1.4054651081081644), ('pride', 1.4054651081081644), ('rock', 1.4054651081081644), ('timon', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('hyenas', 1.4054651081081644), ('run', 1.4054651081081644), ('uncle', 1.4054651081081644), ('timon', 1.4054651081081644), ('appears', 1.6931471805599454), ('reminds', 1.6931471805599454), ('hakuna', 1.6931471805599454), ('matata', 1.6931471805599454), ('friendship', 1.6931471805599454), ('friends', 1.6931471805599454), ('prompting', 2.09861228866811), ('evade', 2.09861228866811), ('ma', 2.09861228866811), ('max', 2.09861228866811), ('came', 2.09861228866811), ('looking', 2.09861228866811)]"
